discussion;NN;0.5755031108856201;A
thesaurus;NN;0.30807921290397644;A
edition;NN;0.25578176975250244;A
group;NN;0.25578176975250244;A
century;NN;0.25578176975250244;A
lief;NN;0.25578176975250244;A
copyright;NN;0.25578176975250244;A
Philip;NP;0.25578176975250244;A
apart;ADV;0.20684948563575745;A
debate;NN;0.16028077900409698;A
examination;NN;0.1495969295501709;A
sense;NN;0.13843543827533722;A
appear;V;0.12084583938121796;A
bring;V;0.06080155074596405;A
synonym;NN;0.0597449466586113;A
warm;ADJ;0.047393977642059326;A
talk;NN;0.04522709548473358;A
classical;ADJ;0.04188060015439987;A
shake;V;0.04188060015439987;A
strike;NN;0.04188060015439987;A
break;V;0.04188060015439987;A
asunder;ADV;0.04188060015439987;A
quatere;ADJ;0.04188060015439987;A
shake;NN;0.04188060015439987;A
L;NP;0.04188060015439987;A
pp;NN;0.04188060015439987;A
mid-14c;NN;0.04188060015439987;A
LL;NP;0.04188060015439987;A
base;V;0.03968627378344536;A
star;NN;0.034999482333660126;A
see;V;0.03470742702484131;A
scatter;V;0.033373210579156876;A
post-classical;ADJ;0.033373210579156876;A
time;NN;0.033373210579156876;A
disperse;V;0.033373210579156876;A
involve;ADJ;0.033373210579156876;A
evolution;NN;0.033373210579156876;A
mental;ADJ;0.033373210579156876;A
process;NN;0.033373210579156876;A
investigate;V;0.033373210579156876;A
latin;NN;0.033373210579156876;A
examine;V;0.033373210579156876;A
smash;NN;0.033373210579156876;A
word;NN;0.031103597953915596;A
definition;NN;0.02301958203315735;A
noun;NN;0.015999190509319305;A
bristle;NN;0.013459007255733013;A
extent;NN;0.013459007255733013;A
lawyer;NN;0.01345900446176529;A
church;NN;0.01345900446176529;A
thing;NN;0.01345900446176529;A
quite;ADV;0.01345900446176529;A
mean;NN;0.013249782845377922;A
trial;NN;0.013249780051410198;A
judicial;ADJ;0.013249780051410198;A
record;V;0.013249780051410198;A
originally;ADV;0.013249780051410198;A
investigation;NN;0.013249780051410198;A
ask;V;0.012766247615218163;A
lecture;NN;0.012766247615218163;A
irrelevant;ADJ;0.012766247615218163;A
interrupt;V;0.012766247615218163;A
detail;NN;0.012766247615218163;A
problem;NN;0.012766247615218163;A
begin;V;0.012766247615218163;A
repeat;V;0.012766247615218163;A
together;ADV;0.009764292277395725;A
student;NN;0.009764292277395725;A
back;ADV;0.009764292277395725;A
find;NN;0.009764292277395725;A
cold;ADJ;0.00961795449256897;A
drive;V;0.009617953561246395;A
climate;NN;0.009617953561246395;A
temperature;NN;0.009617953561246395;A
abnormally;ADV;0.009617953561246395;A
exist;V;0.009617953561246395;A
body;NN;0.009617953561246395;A
active;ADJ;0.009617953561246395;A
bit;NN;0.009544403292238712;A
get;V;0.009544403292238712;A
coverage;NN;0.009544403292238712;A
wonderful;ADJ;0.009544403292238712;A
select;V;0.008727826178073883;A
closely;ADV;0.008727826178073883;A
relevance;NN;0.008727826178073883;A
suggest;V;0.008727826178073883;A
matche;V;0.008727826178073883;A
matche;NN;0.008727826178073883;A
best;ADJ;0.008727826178073883;A
rank;NN;0.008727826178073883;A
build;NN;0.007615810725837946;A
lot;NN;0.007615810725837946;A
got;V;0.007615810725837946;A
land;NN;0.007615810725837946;A
mangrove;NN;0.007615810725837946;A
academic;ADJ;0.007541344966739416;A
written;ADJ;0.007541344966739416;A
genre;NN;0.007541344966739416;A
common;ADJ;0.007541344966739416;A
frequently;ADV;0.007541344966739416;A
spoken;ADJ;0.007541344966739416;A
language;NN;0.007541344966739416;A
radio;NN;0.007541344966739416;A
journal;NN;0.007541344966739416;A
review;V;0.006109827198088169;A
context;NN;0.006109827198088169;A
condition;NN;0.005981047637760639;A
reasonable;ADJ;0.005981047637760639;A
offset;NN;0.005981047637760639;A
general;ADJ;0.005981047637760639;A
today;NN;0.004372325260192156;A
thank;NN;0.004372325260192156;A
participate;V;0.004372325260192156;A
relate;V;0.002961311489343643;A
sentence;NN;0.0027813862543553114;A
example;NN;0.0027813862543553114;A
count;NN;0.0025305799208581448;A
character;NN;0.0025305799208581448;A
rank;V;0.0025305799208581448;A
length;NN;0.0025305799208581448;A
difficulty;NN;0.002224022289738059;A
complexity;NN;0.002224022289738059;A
sort;NN;0.002224022289738059;A
communication;NN;0.00214620609767735;A
informal;ADJ;0.00214620609767735;A
casual;ADJ;0.00214620609767735;A
colloquial;ADJ;0.00214620609767735;A
reserve;V;0.00214620609767735;A
adjust;V;0.002043689601123333;A
choose;V;0.002043689601123333;A
complex;ADJ;0.002043689601123333;A
higher;ADJ;0.002043689601123333;A
origin;NN;0.0018516909331083298;A
history;NN;0.0018516909331083298;A
conversation;NN;0.0016441161278635263;A
synonym;ADV;0.0012002642033621669;A
antonym;ADV;0.0012002642033621669;A
found;V;0.0012002642033621669;A
dictionary;NN;0.0011091124033555388;A
convince;V;3.2024504616856575E-4;A
support;NN;3.2024504616856575E-4;A
effort;NN;3.2024504616856575E-4;A
presentation;NN;3.2024504616856575E-4;A
statement;NN;2.721410128287971E-4;A
inform;NN;2.721410128287971E-4;A
preparation;NN;2.721410128287971E-4;A
fact;NN;2.721410128287971E-4;A
opinion;NN;2.721410128287971E-4;A
explanation;NN;2.721410128287971E-4;A
meet;NN;2.7001192211173475E-4;A
canvass;NN;2.673531125765294E-4;A
contention;NN;2.673531125765294E-4;A
dispute;NN;2.673531125765294E-4;A
argument;NN;2.673531125765294E-4;A
argumentation;NN;2.673531125765294E-4;A
meet;V;2.673531125765294E-4;A
altercation;NN;2.673531125765294E-4;A
huddle;NN;2.673531125765294E-4;A
